# code	title	kind — kinds WordNet has no noun for (or only non-goods senses, marked)
39180	tobacco refuse	tobacco refuse
39211	silk waste	silk waste
39213	garnetted stock of wool or of fine or coarse animal hair	garnetted stock
39214	cotton waste, except garnetted stock	cotton waste
39215	other cotton waste; garnetted stock	garnetted stock
39217	worn clothing and other worn textile articles	worn clothing
39218	rags, scrap twine, cordage, rope and cables and worn out articles of twine, cord	scrap twine
39218	rags, scrap twine, cordage, rope and cables and worn out articles of twine, cord	worn out articles
39230	residual lyes from the manufacture of wood pulp, including lignin sulphonates, b	residual lyes
39260	used pneumatic tyres of rubber	used pneumatic tyres
39281	wood pellets	wood pellets
39282	agglomerated wood waste and scrap in forms other than pellets	agglomerated wood waste
39283	non-agglomerated wood waste and scrap	non-agglomerated wood waste
39340	ferrous waste and scrap	ferrous waste
39350	remelting scrap ingots of iron or steel	remelting scrap ingots
39380	waste and scrap of primary cells, primary batteries and electric accumulators; s	spent primary cells
39910	municipal waste	municipal waste
39920	sewage sludge	sewage sludge
39931	pharmaceutical waste	pharmaceutical waste
39940	waste organic solvents	waste organic solvents
41112	ferro-manganese	ferro-manganese
41113	ferro-chromium	ferro-chromium
41114	ferro-nickel	ferro-nickel
41116	ferrous products obtained by direct reduction of iron ore and other spongy ferro	ferrous products
41121	non-alloy steel in ingots or other primary forms, and semi-finished products of 	non-alloy steel
41211	flat-rolled products of non-alloy steel, not further worked than hot-rolled, of 	flat-rolled products
41212	flat-rolled products of non-alloy steel, not further worked than hot-rolled, of 	flat-rolled products
41213	flat-rolled products of alloy steel (except of silicon-electrical steel), not fu	flat-rolled products
41214	flat-rolled products of alloy steel (except of silicon-electrical or high-speed 	flat-rolled products
41221	flat-rolled products of non-alloy steel, not further worked than cold-rolled, of	flat-rolled products
41222	flat-rolled products of non-alloy steel, not further worked than cold-rolled, of	flat-rolled products
41223	flat-rolled products of alloy steel (except of silicon-electrical steel), not fu	flat-rolled products
41224	flat-rolled products of alloy steel (except of silicon-electrical or high-speed 	flat-rolled products
41231	flat-rolled products of non-alloy steel, clad, plated, coated or otherwise furth	flat-rolled products
41232	flat-rolled products of stainless steel, further worked	flat-rolled products
41233	flat-rolled products of silicon-electrical steel	flat-rolled products
41234	flat-rolled products of high-speed steel of a width of less than 600 mm, not fur	flat-rolled products
41239	flat-rolled products of alloy steel, n.e.c., further worked	flat-rolled products
41241	bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy stee	hot-rolled
41243	bars and rods, hot-rolled, in irregularly wound coils, of alloy steel	hot-rolled
41261	bars and rods, cold-formed, cold-finished or further worked, of iron or non-allo	cold-formed
41261	bars and rods, cold-formed, cold-finished or further worked, of iron or non-allo	cold-finished
41261	bars and rods, cold-formed, cold-finished or further worked, of iron or non-allo	further worked
41262	angles, shapes and sections, cold-formed, cold-finished or further worked, of ir	cold-formed
41262	angles, shapes and sections, cold-formed, cold-finished or further worked, of ir	cold-finished
41262	angles, shapes and sections, cold-formed, cold-finished or further worked, of ir	further worked
41264	bars and rods, cold-formed or cold-finished, of alloy steel (except bars or rods	cold-formed
41264	bars and rods, cold-formed or cold-finished, of alloy steel (except bars or rods	cold-finished
41273	hollow drill bars and rods, of steel	hollow drill bars
41281	line pipe of a kind used for oil or gas pipelines, seamless, of steel	line pipe
41282	casing, tubing and drill pipe, of a kind used in the drilling for oil or gas, se	drill pipe
41285	line pipe of a kind used for oil or gas pipelines, welded, of steel	line pipe
41289	other tubes and pipes, such as open seam, riveted or similarly closed	such as open seam
41289	other tubes and pipes, such as open seam, riveted or similarly closed	riveted
41289	other tubes and pipes, such as open seam, riveted or similarly closed	similarly closed
41291	tubes, pipes and hollow profiles of cast-iron; tubes and pipes of centrifugally 	hollow profiles
41310	silver (including silver plated with gold or platinum), unwrought or in semi-man	unwrought or
41320	gold (including gold plated with platinum), unwrought or in semi-manufactured fo	unwrought or
41330	platinum, unwrought or in semi-manufactured forms, or in powder form	unwrought or
41350	base metals clad with silver, and base metals, silver or gold clad with platinum	base metals clad
41411	copper mattes; cement copper	copper mattes
41411	copper mattes; cement copper	cement copper
41412	unrefined copper; copper anodes for electrolytic refining	unrefined copper
41412	unrefined copper; copper anodes for electrolytic refining	copper anodes
41413	refined copper and copper alloys, unwrought; master alloys of copper	refined copper
41413	refined copper and copper alloys, unwrought; master alloys of copper	copper alloys
41413	refined copper and copper alloys, unwrought; master alloys of copper	unwrought
41413	refined copper and copper alloys, unwrought; master alloys of copper	master alloys
41421	nickel mattes, nickel oxide sinters and other intermediate products of nickel me	nickel mattes
41421	nickel mattes, nickel oxide sinters and other intermediate products of nickel me	nickel oxide sinters
41422	unwrought nickel	unwrought nickel
41431	unwrought aluminium	unwrought aluminium
41441	lead, unwrought	unwrought
41442	zinc, unwrought	unwrought
41443	tin, unwrought	unwrought
41542	lead plates, sheets, strip and foil; lead powders and flakes	lead plates
41542	lead plates, sheets, strip and foil; lead powders and flakes	lead powders
41544	zinc dust, powders and flakes	zinc dust
41545	zinc bars, rods, profiles and wire; zinc plates, sheets, strip and foil	zinc bars
41545	zinc bars, rods, profiles and wire; zinc plates, sheets, strip and foil	zinc plates
41547	tin bars, rods, profiles and wire	tin bars
41601	tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium,	unwrought
41601	tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium,	cobalt mattes
41602	tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium,	wrought
41603	bismuth, antimony, manganese, chromium and articles thereof; including waste and	including waste
41604	cermets and articles thereof	cermets
42110	bridges, bridge sections, towers and lattice masts, of iron or steel	bridge sections
42110	bridges, bridge sections, towers and lattice masts, of iron or steel	lattice masts
42120	doors, windows and their frames and thresholds for doors, of iron, steel or alum	their frames
42320	steam or other vapour generating boilers (other than central heating hot water b	super-heated water boilers
42330	auxiliary plant for use with boilers; condensers for steam or other vapour power	auxiliary plant
42911	sinks, wash-basins, baths and other sanitary ware and parts thereof, of iron, st	wash-basins
42912	table, kitchen or other household articles and parts thereof, of iron, steel, co	pot scourers
42912	table, kitchen or other household articles and parts thereof, of iron, steel, co	polishing pads
42912	table, kitchen or other household articles and parts thereof, of iron, steel, co	hand-operated mechanical appliances
42914	razors and razor blades (including razor blade blanks in strips)	razor blades
42915	other articles of cutlery; manicure or pedicure sets and instruments	pedicure sets
42916	spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar	cake-servers
42916	spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar	fish-knives
42916	spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar	butter-knives
42916	spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar	sugar tongs
42916	spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar	table ware
42922	interchangeable tools for hand tools or for machine tools, including dies for dr	interchangeable tools
42941	stranded wire, ropes, cables, plaited bands, slings and the like, of iron or ste	stranded wire
42941	stranded wire, ropes, cables, plaited bands, slings and the like, of iron or ste	plaited bands
42942	stranded wire, cables, plaited bands and the like, of copper or aluminium, not e	stranded wire
42942	stranded wire, cables, plaited bands and the like, of copper or aluminium, not e	plaited bands
42943	cloth, grill, netting and fencing, of iron or steel wire; expanded metal of iron	expanded metal
