kind	sub	sup	detail
single	correlation-coefficient	cognition	only wordnet
single	correlation-coefficient	logical-relation	only sumo
single	correlation-coefficient	quantity	only sumo
single	correlation-coefficient	statistic	only wordnet
single	correlational-analysis	cognition	only wordnet
single	correlational-analysis	logical-relation	only sumo
single	correlational-analysis	measure	only sumo
single	correlational-analysis	method	only wordnet
single	correlational-analysis	routine	only sumo
single	correlational-analysis	statistical-method	only wordnet
single	corruption	expression	only opencyc
single	cosecant	function	only wordnet
single	cosecant	mathematical-relation	only wordnet
single	cosine	function	only wordnet
single	cosine	mathematical-relation	only wordnet
single	cotangent	function	only wordnet
single	cotangent	mathematical-relation	only wordnet
single	council	expression	only opencyc
single	countable-set	algebraic-structure	only wikidata
single	countable-set	mathematical-structure	only wikidata
single	counterspy	logical-relation	only sumo
single	country	expression	only opencyc
single	coup-d'etat	expression	only opencyc
single	couple	expression	only opencyc
single	courage	logical-relation	only sumo
single	courage	range-of-a-function	only sumo
single	court	expression	only opencyc
single	courtesy	expression	only opencyc
single	courtesy	logical-relation	only sumo
single	cousin	logical-relation	only sumo
single	couturier	logical-relation	only sumo
single	covariance	cognition	only wordnet
single	covariance	logical-relation	only sumo
single	covariance	moment	only wordnet
single	covariance	statistic	only wordnet
single	covariation	amateur	only sumo
single	covariation	ambiance	only sumo
single	covariation	attribute	only sumo
single	covariation	circumstance	only sumo
single	covariation	civilisation	only sumo
single	covariation	crowd	only sumo
single	covariation	custom	only sumo
single	covariation	danger	only sumo
single	covariation	expert	only sumo
single	covariation	freedom	only sumo
single	covariation	lap	only sumo
single	covariation	literary-works	only sumo
single	covariation	logical-relation	only sumo
single	covariation	normal	only sumo
single	covariation	practice	only sumo
single	covariation	property	only sumo
single	covariation	society	only sumo
single	covariation	status	only sumo
single	covariation	tension	only sumo
single	covariation	way	only sumo
single	crack-up	logical-relation	only sumo
single	craft	expression	only opencyc
single	craft	logical-relation	only sumo
single	craftsman	expression	only opencyc
single	craftsman	logical-relation	only sumo
single	craftsmanship	logical-relation	only sumo
single	crash	expression	only opencyc
single	credibility	logical-relation	only sumo
single	credit	logical-relation	only sumo
single	credit-card	expression	only opencyc
single	crevice	logical-relation	only sumo
single	crime	logical-relation	only sumo
single	criminal	expression	only opencyc
single	crisis	logical-relation	only sumo
single	critique	expression	only opencyc
single	crook	logical-relation	only sumo
single	cross-section	artifact	only sumo
single	cross-section	cognition	only wordnet
single	cross-section	contract-condition	only sumo
single	cross-section	data-file	only sumo
single	cross-section	example	only wordnet
single	cross-section	indication	only sumo
single	cross-section	information	only sumo
single	cross-section	line-of-text	only sumo
single	cross-section	news	only sumo
single	cross-section	note	only sumo
single	cross-section	physical-object	only sumo
single	cross-section	text	only sumo
single	crossing	expression	only opencyc
single	crossing	translation	only opencyc
single	crowd	expression	only opencyc
single	crowd	logical-relation	only sumo
single	cruelty	logical-relation	only sumo
